Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h)
2/9/2019,8.3,24.4,0,ESE,37,17:16,15.1,61,WNW,7,23.4,20,SSW,7
3/9/2019,8.5,26.3,0,ESE,28,18:30,14.5,62,WNW,11,25,17,NNW,11
4/9/2019,8.5,30.6,0,W,57,13:15,15.9,50,NW,9,30.1,11,SW,20
5/9/2019,10.5,27.3,0,E,41,17:12,19.3,38,ESE,6,26.9,22,N,7
6/9/2019,11.8,32.5,0,NW,87,16:43,16.8,69,WNW,7,31.2,7,NW,26
7/9/2019,10.3,18.8,0,NW,67,13:46,13.3,55,NNW,39,18.1,25,NW,35
8/9/2019,10.2,20.3,0,W,46,12:01,14.3,34,WSW,26,19,23,WSW,26
9/9/2019,9.6,17.8,0,W,46,14:05,12.8,35,W,19,16.2,28,SSW,22
10/9/2019,8.6,17.9,0,S,46,10:58,12.3,45,SSW,31,17,38,S,17
11/9/2019,,21.8,0,ESE,31,18:37,14.6,58,WNW,7,20.8,31,NNE,6
12/9/2019,7.1,27.4,0,NNW,54,12:51,14.9,39,NW,19,25.7,10,NW,30
13/9/2019,9.2,24.5,0,SE,26,20:00,18.3,52,SSW,7,23.4,34,ENE,15
14/9/2019,7.7,25.5,0,ENE,39,15:32,17.3,32,W,7,22.2,42,ESE,22
15/9/2019,7.6,27.7,0,NNW,26,12:21,14.9,70,NW,15,27,14,N,11
16/9/2019,9.3,31.3,0,W,50,17:11,21.3,18,W,6,30.5,6,NNW,28
17/9/2019,8.8,14.1,0.4,SW,46,13:13,9.3,84,SSW,17,10.2,93,NW,15
18/9/2019,9.1,17.7,25,SSW,44,4:06,12.3,94,SW,15,16.2,89,SSW,19
19/9/2019,12.1,22.7,7.6,E,44,15:05,17.6,84,ESE,9,20.7,64,ESE,28
20/9/2019,14.6,25.1,0,ESE,39,17:25,18.9,74,E,13,24.3,48,ESE,19
21/9/2019,12.4,27.4,0,NNW,37,15:46,18.1,74,WSW,2,26.4,40,N,11
22/9/2019,14.7,25.4,0,NW,50,9:46,19.4,70,NW,9,24,50,NNW,26
